3.817108741266664605e-07,3.600306068534821004e-07,3.926651217514053278e-07,4.437803909227603456e-07,4.964192179320671799e-07,5.317398471315041379e-07,5.246655129889150666e-07,5.367170184184448508e-07,5.222718897524969242e-07,4.593316613370171657e-07
4.363987132496395157e-07,4.473509467147667237e-07,4.298367819241176695e-07,3.942447022386149237e-07,3.923813717899071070e-07,4.013226869990926185e-07,3.571571599370183602e-07,3.080814273665864146e-07,3.726613068727979186e-07,4.421938442575460178e-07
4.330845173006543295e-07,4.844077412812127075e-07,5.944946371093944217e-07,6.614505646952455611e-07,5.951916442464389479e-07,4.430601381788446764e-07,2.903860628340317363e-07,2.843541119082765118e-07,3.332364858781022144e-07,4.389808705095693137e-07
5.085389629740899734e-07,5.381170646660470411e-07,4.804933629995574847e-07,3.870490891749835527e-07,2.777461685800706930e-07,1.733349890382994382e-07,5.069045942892582788e-08,8.939080219677356814e-08,1.675677230845794788e-07,2.400802673603677112e-07
2.793922683592666265e-07,2.474315998905871328e-07,1.715399631021660280e-07,8.904874896897189431e-08,7.886525544897645463e-08,1.697716826767900759e-07,2.344701585807905058e-07,3.099893156796431318e-07,3.763276716185986477e-07,4.278943523247080815e-07
4.524704975850777685e-07,4.759042179378077385e-07,4.555376966408289386e-07,3.972443376155974320e-07,4.111806039593325988e-07,4.143956968826903968e-07,3.741108398815249021e-07,2.836818417124727284e-07,1.711860213000170633e-07,1.323520779419938715e-07
1.439494743409912311e-07,1.766424065390170044e-07,1.774440845786676021e-07,1.740822267148021401e-07,1.946516908019145747e-07,2.215140532143294462e-07,2.660284336530444432e-07,2.981637659905755612e-07,2.896293979050126335e-07,3.013748022581597143e-07
3.246295269510408014e-07,3.367298215607000347e-07,2.634049085334948136e-07,1.636046547595343417e-07,1.895350878100204736e-07,2.378539508184384492e-07,2.661035766063008191e-07,2.944617248488660437e-07,3.425993740801931781e-07,3.531250735125437200e-07
3.276723704397667376e-07,3.252602015326283231e-07,3.070109156912427083e-07,2.542309217720245003e-07,3.087781386538099733e-07,4.288710991804537696e-07,5.015691884108276322e-07,5.255772240108680288e-07,5.235089145121723270e-07,5.712931647314349911e-07
6.704717061034896804e-07,7.964627838845278235e-07,8.895478869442774937e-07,8.824874111451996467e-07,7.292206415668746396e-07,4.906707910866429437e-07,3.115565238335299239e-07,2.025282282672304563e-07,2.015196046714575890e-07,2.567548779590332310e-07
